a
铜精	对剑	20	16	50	48	47
百炼寒铁	对剑	18	14	47	45	41
青云金铁	对剑	25	16	65	40	49
赤日铁	对剑	25	17	40	65	51
墨金	对剑	25	17	52	52	53
寒铜金精	对剑	30	18	55	55	55
w
镔铁	双钩	5	15	45	40	35
精铜	双钩	8	15	40	45	35
青金	双钩	10	16	42	47	37
云钢	双钩	10	16	47	42	39
磁母	双钩	15	18	50	48	47
铁精	双钩	13	17	47	45	41
铜精	双钩	13	17	47	45	43
百炼寒铁	双钩	15	18	48	50	45
青云金铁	双钩	20	19	65	40	49
赤日铁	双钩	20	19	40	65	51
墨金	双钩	20	20	52	52	53
寒铜金精	双钩	22	20	55	55	55
